Software Version: bsiprrinterface version 3.0.14, Measured Parameters recorded in: Calibrated Units, Ignoring data after range change in averages
Label,Ed0Gnd,Ed0305,Ed0313,Ed0320,Ed0340,Ed0380,Ed0395,Ed0PAR,Ed0Temp,Ed0Vin, # averaged, UVINDEX, , , 
ChannelType,0,1,2,5,6,10,17,18,22,27
Offset,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
WScale,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Units,V,µW/(cm²nm),µW/(cm²nm),µW/(cm²nm),µW/(cm²nm),µW/(cm²nm),µW/(cm²nm),µE/(cm²sec),°C,V
Equation,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Comment,lamp V-032,solar calibration completed 3/24/16,solar calibration completed 3/24/16,lamp calibration completed 3/28/16,lamp calibration completed 3/28/16,lamp calibration completed 3/28/16,lamp calibration completed 3/28/16,lamp calibration completed 3/28/16,n/a,n/a
2/19/2020 12:05:44 AM,-1.035E-05,1.22119E-04,2.708385E-05,4.792262E-05,7.435588E-05,9.652106E-05,4.615263E-05,5.612218E-07,39.96587,18.12009, 175, 1.03332585225871E-04, 1.03332585225871E-04, 1.03332585225871E-04, 1.03332585225871E-04
2/19/2020 12:06:04 AM,-0.0000107,1.177925E-04,2.428021E-05,4.681334E-05,6.684289E-05,1.105735E-04,5.076071E-05,5.606427E-07,39.9563,18.12013, 175, 9.94632163597998E-05, 9.94632163597998E-05, 9.94632163597998E-05, 9.94632163597998E-05
2/19/2020 12:06:24 AM,-0.0000095,1.301256E-04,2.12609E-05,4.905409E-05,6.684289E-05,9.907604E-05,4.461082E-05,5.58908E-07,39.94555,18.12016, 175, 1.09206031500617E-04, 1.09206031500617E-04, 1.09206031500617E-04, 1.09206031500617E-04
2/19/2020 12:06:44 AM,-0.0000102,1.359938E-04,2.560501E-05,4.878786E-05,5.906502E-05,9.890941E-05,4.175242E-05,5.559076E-07,39.9198,18.12015, 175, 1.14209413936442E-04, 1.14209413936442E-04, 1.14209413936442E-04, 1.14209413936442E-04
2/19/2020 12:07:04 AM,-1.115E-05,1.371376E-04,2.538934E-05,5.187166E-05,6.987698E-05,8.574568E-05,4.823146E-05,5.573866E-07,39.90446,18.12015, 175, 1.1535350633676E-04, 1.1535350633676E-04, 1.1535350633676E-04, 1.1535350633676E-04
2/19/2020 12:07:24 AM,-1.175E-05,1.304737E-04,2.880917E-05,4.692427E-05,6.638536E-05,9.013359E-05,4.480138E-05,5.507002E-07,39.95414,18.12012, 175, 1.10081070576598E-04, 1.10081070576598E-04, 1.10081070576598E-04, 1.10081070576598E-04
2/19/2020 12:07:44 AM,-9.85E-06,1.346013E-04,3.038044E-05,5.13392E-05,6.775793E-05,8.613448E-05,4.331155E-05,5.468113E-07,39.93087,18.12007, 175, 1.13707492549656E-04, 1.13707492549656E-04, 1.13707492549656E-04, 1.13707492549656E-04
2/19/2020 12:08:04 AM,-1.005E-05,1.39823E-04,2.930211E-05,4.881004E-05,6.932314E-05,9.629889E-05,4.637783E-05,5.428691E-07,39.91328,18.1201, 175, 1.17758044957009E-04, 1.17758044957009E-04, 1.17758044957009E-04, 1.17758044957009E-04
2/19/2020 12:08:24 AM,-0.0000102,1.188368E-04,3.281437E-05,4.472789E-05,7.27666E-05,8.119114E-05,3.967359E-05,5.366981E-07,39.89297,18.12007, 175, 1.01071751656491E-04, 1.01071751656491E-04, 1.01071751656491E-04, 1.01071751656491E-04
2/19/2020 12:08:44 AM,-9.35E-06,1.312196E-04,3.148957E-05,4.707957E-05,7.568028E-05,9.352172E-05,4.024527E-05,5.340506E-07,39.87674,18.12009, 175, 1.11046700468796E-04, 1.11046700468796E-04, 1.11046700468796E-04, 1.11046700468796E-04
2/19/2020 12:09:04 AM,-0.0000101,1.371376E-04,2.837784E-05,5.078457E-05,7.401876E-05,8.874501E-05,4.261861E-05,5.313752E-07,39.86988,18.12008, 175, 1.1563762141941E-04, 1.1563762141941E-04, 1.1563762141941E-04, 1.1563762141941E-04
2/19/2020 12:09:24 AM,-0.0000084,1.319159E-04,2.612876E-05,4.976402E-05,7.416324E-05,8.530133E-05,4.052245E-05,5.276856E-07,39.86381,18.12016, 175, 1.11199327270333E-04, 1.11199327270333E-04, 1.11199327270333E-04, 1.11199327270333E-04
2/19/2020 12:09:44 AM,-0.0000098,1.967145E-04,1.044767E-04,1.109519E-04,1.50738E-04,1.847792E-04,4.454882E-05,5.216049E-07,39.85925,18.1201, 175, 1.73349104290537E-04, 1.73349104290537E-04, 1.73349104290537E-04, 1.73349104290537E-04
2/19/2020 12:10:04 AM,-0.0000104,1.35397E-04,2.116847E-05,4.459478E-05,7.358532E-05,7.574791E-05,4.07823E-05,5.161372E-07,39.8583,18.12009, 175, 1.13389373343671E-04, 1.13389373343671E-04, 1.13389373343671E-04, 1.13389373343671E-04
2/19/2020 12:10:24 AM,-9.05E-06,1.242574E-04,3.096581E-05,4.512724E-05,6.5976E-05,8.75786E-05,4.339817E-05,5.095903E-07,39.848,18.12006, 175, 1.05199694422481E-04, 1.05199694422481E-04, 1.05199694422481E-04, 1.05199694422481E-04
2/19/2020 12:10:44 AM,-1.045E-05,1.342532E-04,2.696061E-05,4.106727E-05,7.086427E-05,8.813403E-05,4.097286E-05,5.057777E-07,39.84885,18.12018, 175, 1.12831528709467E-04, 1.12831528709467E-04, 1.12831528709467E-04, 1.12831528709467E-04
2/19/2020 12:11:04 AM,-1.145E-05,1.186876E-04,1.676275E-05,4.350769E-05,7.129771E-05,1.002424E-04,4.29824E-05,5.033631E-07,39.85134,18.12024, 175, 9.94689818840925E-05, 9.94689818840925E-05, 9.94689818840925E-05, 9.94689818840925E-05
2/19/2020 12:11:24 AM,-8.25E-06,1.350489E-04,2.622119E-05,4.475008E-05,6.616864E-05,7.7803E-05,3.686716E-05,4.989147E-07,39.85586,18.12024, 175, 1.13464914695942E-04, 1.13464914695942E-04, 1.13464914695942E-04, 1.13464914695942E-04
2/19/2020 12:11:44 AM,-7.75E-06,1.317667E-04,3.688119E-05,5.588725E-05,8.75277E-05,9.885387E-05,4.504391E-05,5.022139E-07,39.86679,18.12018, 175, 1.12406308473874E-04, 1.12406308473874E-04, 1.12406308473874E-04, 1.12406308473874E-04
2/19/2020 12:12:04 AM,-0.0000081,1.210249E-04,2.141495E-05,4.013548E-05,6.679473E-05,8.519024E-05,3.712702E-05,4.93059E-07,39.88528,18.12036, 175, 1.015967965257E-04, 1.015967965257E-04, 1.015967965257E-04, 1.015967965257E-04
2/19/2020 12:12:24 AM,-7.85E-06,1.266942E-04,2.569743E-05,4.796699E-05,6.445896E-05,7.841398E-05,4.59101E-05,4.923662E-07,39.90069,18.12042, 175, 1.06768078382993E-04, 1.06768078382993E-04, 1.06768078382993E-04, 1.06768078382993E-04
2/19/2020 12:12:44 AM,-0.0000089,1.083437E-04,2.104524E-05,4.326365E-05,6.826362E-05,8.635665E-05,4.002006E-05,4.8907E-07,39.92319,18.12039, 175, 9.14660631537117E-05, 9.14660631537117E-05, 9.14660631537117E-05, 9.14660631537117E-05
2/19/2020 12:13:04 AM,-0.0000099,1.339548E-04,4.664772E-05,6.569328E-05,9.193436E-05,1.20849E-04,6.380539E-05,4.855308E-07,39.89824,18.1205, 175, 1.15411247359953E-04, 1.15411247359953E-04, 1.15411247359953E-04, 1.15411247359953E-04
2/19/2020 12:13:24 AM,-9.85E-06,1.094378E-04,3.487859E-05,4.273119E-05,6.06543E-05,7.45815E-05,3.821841E-05,4.815276E-07,39.92633,18.12059, 175, 9.34577501975582E-05, 9.34577501975582E-05, 9.34577501975582E-05, 9.34577501975582E-05
2/19/2020 12:13:44 AM,-0.0000089,1.371873E-04,2.942535E-05,4.645837E-05,7.365756E-05,8.457927E-05,4.060907E-05,4.821497E-07,39.94546,18.12071, 175, 1.15625703047044E-04, 1.15625703047044E-04, 1.15625703047044E-04, 1.15625703047044E-04
2/19/2020 12:14:04 AM,-1.085E-05,1.268931E-04,2.237004E-05,4.486101E-05,7.38502E-05,8.663437E-05,4.201228E-05,4.77643E-07,39.94197,18.12079, 175, 1.06655623022925E-04, 1.06655623022925E-04, 1.06655623022925E-04, 1.06655623022925E-04
2/19/2020 12:14:24 AM,-0.0000107,1.457409E-04,5.949517E-05,8.52166E-05,1.136787E-04,1.317354E-04,8.849155E-05,4.705643E-07,39.98251,18.12076, 175, 1.26965443240624E-04, 1.26965443240624E-04, 1.26965443240624E-04, 1.26965443240624E-04
