,Label,Ed0Gnd,Ed0305,Ed0313,Ed0320,Ed0340,Ed0380,Ed0395
2516,2/19/2020 1:57:04 PM,9.95E-06,7.604759,20.61662,31.39884,53.7168,70.6,74.0451
3102,2/19/2020 5:12:24 PM,9.95E-06,2.449094,7.39687,11.48574,19.03049,22.74571,23.24503
