Software Version: bsiPRRinterface version 2.1.20, Measured Parameters recorded in: Calibrated Units, Ignoring data after range change in averages
Label,Ed0Gnd,Ed0305,Ed0313,Ed0320,Ed0340,Ed0380,Ed0395,Ed0PAR,Ed0Temp,Ed0Vin, # averaged, UVINDEX, , , 
ChannelType,0,2,4,6,8,9,10,18,22,27
Offset,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
WScale,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Units,V,µW/(cm²nm),µW/(cm²nm),µW/(cm²nm),µW/(cm²nm),µW/(cm²nm),µW/(cm²nm),µE/(cm²sec),°C,V
Equation,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Comment,Lamp V-032(3/3/15),solar calibration completed 2/26/16,solar calibration completed 2/26/16,lamp calibration completed 2/26/16,lamp calibration completed 2/26/16,lamp calibration completed 2/26/16,lamp calibration completed 2/26/16,lamp calibration completed 2/26/16,n/a,n/a
11/06/2020 00:00:20,4.402564E-05,1.921718E-03,-3.699946E-05,7.176058E-04,-4.888209E-05,6.355308E-06,2.958437E-04,5.131066E-08,37.70474,18.1791, 175
11/06/2020 00:00:41,4.409524E-05,1.928081E-03,-3.246906E-05,7.31192E-04,-5.101983E-05,1.068681E-06,2.959721E-04,5.124736E-08,37.70379,18.17912, 175
11/06/2020 00:01:01,4.355E-05,1.922872E-03,-3.296088E-05,7.219712E-04,-5.525945E-05,1.31559E-05,2.986747E-04,5.128792E-08,37.69844,18.17905, 175
11/06/2020 00:01:21,4.405E-05,1.911658E-03,-3.768601E-05,7.206291E-04,-5.120888E-05,1.236345E-05,3.015311E-04,5.135536E-08,37.69636,18.17921, 175
11/06/2020 00:01:41,0.000044,1.925789E-03,-3.825406E-05,7.226038E-04,-4.744044E-05,1.692003E-05,2.995511E-04,5.131025E-08,37.69102,18.17905, 175
11/06/2020 00:02:01,4.425E-05,1.933382E-03,-3.342564E-05,7.205524E-04,-5.2418E-05,1.5979E-05,2.973439E-04,5.135668E-08,37.68369,18.17909, 175
11/06/2020 00:02:21,4.425E-05,1.924481E-03,-3.706632E-05,7.239459E-04,-5.122903E-05,1.88021E-05,2.995511E-04,5.143495E-08,37.68271,18.17908, 175
11/06/2020 00:02:41,0.0000434,1.92428E-03,-4.000985E-05,7.208208E-04,-4.891154E-05,2.67266E-05,3.040466E-04,5.146237E-08,37.67906,18.17909, 175
11/06/2020 00:03:01,0.0000428,1.921565E-03,-3.871883E-05,7.17389E-04,-5.398987E-05,3.638458E-05,3.008819E-04,5.147099E-08,37.68082,18.17905, 175
11/06/2020 00:03:21,4.235E-05,1.923174E-03,-3.31158E-05,7.222203E-04,-5.04834E-05,2.618179E-05,2.939195E-04,5.155391E-08,37.63446,18.17912, 175
