Time;Ed0Gnd;Ed0305;Ed0313;Ed0320;Ed0340;Ed0380;Ed0395;Ed0PAR
10,145;0,0000436;9,05E-05;0,001024891;0,004387173;0,02039595;0,0287401;0,03012064;5,54E-05
10,15056;0,0000435;9,13E-05;0,001050227;0,004488785;0,02069324;0,02913962;0,03052073;5,60E-05
10,15611;0,000044;9,23E-05;0,001076553;0,004593548;0,02100781;0,02955158;0,03092753;5,62E-05
10,16167;0,0000448;9,34E-05;0,001104096;0,004697686;0,02130873;0,02996912;0,03132616;5,60E-05
10,16722;0,00004445;9,45E-05;0,001132304;0,004804655;0,02163643;0,03038421;0,03172604;5,56E-05
10,17278;0,0000437;9,56E-05;0,001161288;0,004914903;0,02198294;0,03081781;0,03216332;5,60E-05
10,17833;0,0000431;9,67E-05;0,001190717;0,005023949;0,02231083;0,03126986;0,03263877;5,71E-05
10,18389;0,0000425;9,77E-05;0,001220122;0,005133988;0,0226241;0,03171344;0,03308527;5,79E-05
10,18944;0,0000422;9,87E-05;0,001250076;0,005245644;0,02294116;0,03214738;0,03352029;5,86E-05
10,195;0,00004315;9,97E-05;0,001280051;0,005355619;0,02327012;0,03257419;0,03395191;5,92E-05
10,20056;0,00004405;0,000100828;0,001311135;0,005469118;0,02359146;0,03300368;0,0343685;5,94E-05
10,20611;0,00004335;0,000101776;0,001342668;0,00557967;0,02390175;0,03343346;0,03478944;5,95E-05
10,21167;0,0000441;0,000103012;0,001375533;0,005693682;0,02423788;0,03389076;0,03526233;6,01E-05
10,21722;0,00004425;0,000104281;0,001408708;0,005816147;0,02455712;0,03436151;0,0357526;6,14E-05
10,22278;0,00004375;0,000105373;0,001442737;0,00593538;0,02492107;0,03482278;0,0362235;6,27E-05
10,22833;0,0000435;0,000106509;0,001476816;0,006052303;0,02523669;0,03525291;0,03664658;6,32E-05
10,23389;0,00004335;0,000107637;0,001511586;0,006176063;0,02556635;0,03570068;0,03709769;6,35E-05
10,23944;0,0000427;0,00010872;0,001546799;0,006295604;0,02591588;0,03617373;0,03757796;6,41E-05
10,245;0,00004275;0,000109988;0,001582686;0,006418201;0,02622959;0,03663224;0,03804817;6,52E-05
10,25056;0,0000425;0,000111356;0,00161808;0,006537837;0,02654902;0,03710912;0,03855191;6,67E-05
